farm_uid,day_index,crop_type,soil_type,crop_growth_stage,season,region,soil_moisture,temperature,humidity,rainfall_mm,area_hectares,previous_irrigation_mm,irrigation_type,water_source,mulching_used,water_required_mm,irrigation_need,data_source
0,0,Wheat,Loamy,Sowing,Rabi,East,35.66,15.79,56,0.0,2.34,0.0,Drip,Rainwater,Yes,26.69,Medium,synthetic_sequence
0,1,Wheat,Loamy,Sowing,Rabi,East,35.14,24.52,61,0.0,2.34,0.0,Drip,Rainwater,Yes,32.0,Medium,synthetic_sequence
0,2,Wheat,Loamy,Sowing,Rabi,East,35.58,17.56,57,8.11,2.34,0.0,Drip,Rainwater,Yes,26.67,Medium,synthetic_sequence
0,3,Wheat,Loamy,Sowing,Rabi,East,35.19,18.28,64,0.0,2.34,0.0,Drip,Rainwater,Yes,25.71,Medium,synthetic_sequence
0,4,Wheat,Loamy,Sowing,Rabi,East,36.24,23.13,57,0.0,2.34,25.71,Drip,Rainwater,Yes,27.66,Medium,synthetic_sequence
0,5,Wheat,Loamy,Sowing,Rabi,East,35.83,19.37,50,0.0,2.34,0.0,Drip,Rainwater,Yes,28.98,Medium,synthetic_sequence
0,6,Wheat,Loamy,Sowing,Rabi,East,37.13,20.54,48,0.0,2.34,28.98,Drip,Rainwater,Yes,27.28,Medium,synthetic_sequence
0,7,Wheat,Loamy,Sowing,Rabi,East,36.64,23.17,49,0.0,2.34,0.0,Drip,Rainwater,Yes,25.84,Medium,synthetic_sequence
0,8,Wheat,Loamy,Sowing,Rabi,East,37.67,24.49,56,0.0,2.34,25.84,Drip,Rainwater,Yes,24.18,Medium,synthetic_sequence
0,9,Wheat,Loamy,Sowing,Rabi,East,37.17,23.53,43,0.0,2.34,0.0,Drip,Rainwater,Yes,22.74,Medium,synthetic_sequence
0,10,Wheat,Loamy,Sowing,Rabi,East,36.75,19.9,66,0.0,2.34,0.0,Drip,Rainwater,Yes,29.09,Medium,synthetic_sequence
0,11,Wheat,Loamy,Sowing,Rabi,East,36.33,19.66,56,0.0,2.34,0.0,Drip,Rainwater,Yes,28.66,Medium,synthetic_sequence
0,12,Wheat,Loamy,Sowing,Rabi,East,37.63,19.61,51,0.0,2.34,28.66,Drip,Rainwater,Yes,23.2,Medium,synthetic_sequence
0,13,Wheat,Loamy,Sowing,Rabi,East,37.28,16.47,47,0.0,2.34,0.0,Drip,Rainwater,Yes,25.03,Medium,synthetic_sequence
0,14,Wheat,Loamy,Sowing,Rabi,East,36.87,19.29,56,0.0,2.34,0.0,Drip,Rainwater,Yes,23.8,Medium,synthetic_sequence
0,15,Wheat,Loamy,Sowing,Rabi,East,36.8,18.35,52,3.13,2.34,0.0,Drip,Rainwater,Yes,27.1,Medium,synthetic_sequence
0,16,Wheat,Loamy,Sowing,Rabi,East,37.98,21.05,58,0.0,2.34,27.1,Drip,Rainwater,Yes,26.14,Medium,synthetic_sequence
0,17,Wheat,Loamy,Sowing,Rabi,East,37.57,19.31,54,0.0,2.34,0.0,Drip,Rainwater,Yes,18.27,Medium,synthetic_sequence
