crop_type,soil_type,crop_growth_stage,season,region,soil_moisture,temperature,humidity,rainfall_mm,area_hectares,previous_irrigation_mm,irrigation_type,water_source,mulching_used,water_required_mm,irrigation_need,data_source
Maize,Silty,Flowering,Zaid,Central,50.56,36.5,26.01,831.28,12.22,33.56,Canal,Groundwater,Yes,29.02,Medium,real
Cotton,Sandy,Harvest,Rabi,South,40.07,41.83,76.41,1844.45,5.52,34.62,Drip,Reservoir,Yes,13.94,Low,real
Cotton,Clay,Sowing,Zaid,South,18.58,22.38,86.44,1875.63,2.52,60.86,Canal,River,No,50.08,Medium,real
Rice,Silty,Sowing,Zaid,East,20.5,33.34,62.51,402.92,7.56,7.33,Sprinkler,Groundwater,Yes,7.52,Medium,real
Rice,Sandy,Flowering,Kharif,West,22.7,28.02,58.5,764.95,2.18,51.47,Sprinkler,Reservoir,No,52.65,Medium,real
Maize,Clay,Flowering,Kharif,Central,36.73,16.59,76.88,2476.03,13.75,107.25,Sprinkler,Rainwater,Yes,60.75,Low,real
Rice,Loamy,Vegetative,Rabi,Central,19.58,31.14,74.3,1474.55,1.27,97.92,Rainfed,Reservoir,Yes,87.82,Medium,real
Rice,Clay,Flowering,Kharif,North,11.85,35.21,73.29,1943.89,13.11,74.35,Canal,River,No,108.01,High,real
Maize,Clay,Sowing,Kharif,East,17.77,34.84,61.08,1388.44,10.39,15.22,Sprinkler,Reservoir,Yes,14.13,Medium,real
Rice,Sandy,Harvest,Rabi,West,56.38,26.3,81.33,1993.46,9.11,16.53,Rainfed,Groundwater,No,4.99,Low,real
Maize,Silty,Vegetative,Kharif,West,37.16,21.29,87.38,1571.39,3.84,101.67,Sprinkler,Rainwater,No,50.26,Low,real
Rice,Silty,Flowering,Kharif,South,48.28,21.29,68.28,2242.34,13.24,76.17,Canal,Reservoir,No,58.19,Medium,real
Cotton,Silty,Flowering,Zaid,East,18.99,17.28,63.89,1501.77,0.71,12.91,Rainfed,Rainwater,No,12.08,Medium,real
Rice,Clay,Sowing,Zaid,South,47.24,36.39,72.03,2066.1,1.33,101.81,Canal,Reservoir,No,53.02,Low,real
Cotton,Sandy,Harvest,Kharif,North,55.43,14.47,31.11,655.16,5.34,71.79,Sprinkler,Reservoir,No,19.46,Low,real
Maize,Silty,Flowering,Rabi,West,13.7,27.27,33.58,1066.4,8.73,80.74,Sprinkler,Groundwater,Yes,83.73,Medium,real
Cotton,Loamy,Flowering,Kharif,Central,25.34,14.14,45.88,989.53,12.78,64.64,Rainfed,River,No,56.57,Medium,real
Rice,Loamy,Sowing,Kharif,East,45.3,31.1,86.28,2014.3,5.35,48.88,Drip,Rainwater,Yes,24.71,Low,real
Cotton,Silty,Vegetative,Zaid,Central,28.88,41.14,65.43,1484.42,8.63,0.02,Sprinkler,Reservoir,No,0.02,Medium,real
Cotton,Silty,Vegetative,Rabi,West,10.35,15.18,90.11,1762.82,12.71,71.73,Sprinkler,Rainwater,No,54.66,Medium,real
Rice,Loamy,Harvest,Rabi,North,60.37,26.64,80.47,71.19,1.24,68.07,Rainfed,Groundwater,Yes,28.94,Low,real
Maize,Sandy,Harvest,Kharif,Central,54.02,30.01,83.46,869.91,1.75,60.63,Sprinkler,Groundwater,No,19.46,Low,real
Cotton,Sandy,Flowering,Zaid,East,34.9,35.12,32.94,762.65,10.79,41.98,Rainfed,Groundwater,Yes,29.05,Low,real
Rice,Clay,Vegetative,Rabi,Central,31.65,29.15,37.71,973.72,11.8,43.65,Canal,Reservoir,No,34.97,Medium,real
Cotton,Clay,Flowering,Kharif,South,9.15,27.01,65.96,1758.8,3.01,86.73,Rainfed,Groundwater,No,89.71,Medium,real
Maize,Loamy,Sowing,Kharif,Central,17.04,20.1,53.27,1002.58,5.7,41.57,Sprinkler,Groundwater,No,23.38,Low,real
Rice,Silty,Sowing,Zaid,East,44.58,30.62,85.61,2344.67,8.08,7.44,Drip,Reservoir,Yes,3.77,Low,real
Rice,Silty,Harvest,Zaid,West,41.21,30.03,94.78,876.88,10.07,92.34,Drip,Reservoir,No,33.6,Low,real
Maize,Silty,Sowing,Kharif,West,16.17,30.89,50.16,361.8,12.56,11.58,Rainfed,Rainwater,Yes,12.1,Medium,real
Maize,Clay,Flowering,Kharif,Central,33.39,40.04,61.08,175.7,11.04,25.49,Canal,River,No,36.21,Medium,real
Cotton,Loamy,Harvest,Zaid,North,28.24,27.46,34.26,874.76,14.17,45.05,Rainfed,Rainwater,No,17.9,Low,real
Rice,Clay,Sowing,Zaid,Central,57.61,16.79,92.29,1156.59,2.98,9.09,Canal,Rainwater,No,3.51,Low,real
